Team,背番号,選手名,防御率,試合,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
横,27,江尻　慎太郎,13.50,2,0,0,0,0,.000,20,4.0,7,2,3,0,3,6,6,2.50,10.37
横,67,伊藤　拓郎,0.00,2,0,0,0,1,.000,9,2.0,1,0,2,0,2,0,0,1.50,4.12
横,58,阿斗里,13.50,2,0,0,0,0,.000,14,2.0,3,0,5,0,2,3,3,4.00,8.62
横,45,福山　博之,18.00,2,0,0,0,0,.000,10,2.0,3,0,1,1,0,4,4,2.00,6.12
横,17,清水　直行,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,28,北方　悠誠,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,64,古村　徹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,12,小林　寛,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,68,佐村・トラヴィス・幹久,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,48,安斉　雄虎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,13,大沼　幸二,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
横,47,眞下　貴之,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,19,石川　雅規,3.60,27,8,11,0,0,.421,721,172.2,175,14,41,5,100,77,69,1.25,3.78
ヤ,25,館山　昌平,2.25,25,12,8,0,1,.600,676,168.1,141,7,45,6,119,45,42,1.10,3.10
ヤ,53,ロマン,3.04,26,9,11,0,0,.450,703,165.2,152,8,69,6,96,59,56,1.33,3.89
ヤ,47,赤川　克紀,3.79,28,8,9,0,0,.471,668,156.2,156,13,52,9,91,73,66,1.33,4.17
ヤ,15,村中　恭兵,3.88,25,10,7,0,0,.588,633,144.0,155,6,60,5,89,65,62,1.49,3.76
ヤ,22,増渕　竜義,5.38,49,2,7,0,8,.222,331,73.2,80,6,34,2,63,45,44,1.55,3.89
ヤ,65,押本　健彦,3.62,65,4,1,1,22,.800,261,59.2,64,9,21,2,49,26,24,1.42,4.49
ヤ,34,バーネット,1.82,57,1,2,33,3,.333,213,54.1,44,4,11,2,52,15,11,1.01,2.88
ヤ,45,日高　亮,2.98,66,3,2,0,15,.600,213,51.1,41,2,21,1,40,19,17,1.21,3.35
ヤ,20,山本　哲哉,1.21,50,2,2,0,17,.500,183,44.2,41,1,15,3,38,6,6,1.25,2.92
ヤ,42,七條　祐樹,4.20,6,2,3,0,0,.400,131,30.0,30,3,12,2,12,15,14,1.40,5.02
ヤ,61,正田　樹,2.84,24,0,0,0,3,.000,108,25.1,31,0,5,2,14,9,8,1.42,2.84
ヤ,67,平井　諒,5.68,22,2,2,1,2,.500,82,19.0,21,3,5,1,10,12,12,1.37,5.07
ヤ,44,松井　光介,4.50,20,1,0,0,1,1.000,77,18.0,17,1,6,1,12,9,9,1.28,3.68
ヤ,58,阿部　健太,3.60,15,0,0,0,0,.000,62,15.0,12,1,6,0,9,6,6,1.20,3.79
ヤ,14,中澤　雅人,2.40,3,2,0,0,0,1.000,66,15.0,15,0,5,2,8,4,4,1.33,3.45
ヤ,70,八木　亮祐,1.80,3,1,0,0,0,1.000,65,15.0,10,1,11,1,13,4,3,1.40,4.65
ヤ,66,フェルナンデス,7.11,9,1,0,0,0,1.000,61,12.2,15,2,9,1,4,10,10,1.89,6.91
ヤ,26,久古　健太郎,5.63,9,0,0,0,1,.000,37,8.0,9,2,3,0,6,7,5,1.50,6.00
ヤ,12,林　昌勇,0.00,9,0,0,0,3,.000,28,7.0,6,0,2,0,7,0,0,1.14,1.98
ヤ,21,松岡　健一,0.00,7,0,0,0,2,.000,29,6.1,8,0,2,1,5,0,0,1.58,2.96
ヤ,29,小野寺　力,7.71,4,0,0,0,0,.000,20,4.2,6,1,0,0,4,4,4,1.29,4.19
ヤ,48,渡辺　恒樹,13.50,3,0,0,0,0,.000,13,2.0,5,1,2,0,2,3,3,3.50,10.62
ヤ,11,由規,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,13,太田　裕哉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,63,山本　斉,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,40,古野　正人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,16,木谷　良平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,38,中根　佑二,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,43,一場　靖弘,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,51,山岸　穣,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,46,加藤　幹典,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ヤ,62,木下　達生,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,50,攝津　正,1.91,27,17,5,0,0,.773,770,193.1,148,8,54,2,153,46,41,1.04,2.94
ソ,28,大隣　憲司,2.03,25,12,8,0,0,.600,705,177.1,147,9,46,4,134,45,40,1.09,3.11
ソ,34,山田　大樹,2.78,24,8,10,0,0,.444,623,148.2,129,10,57,9,83,51,46,1.25,4.21
ソ,41,岩嵜　翔,3.14,29,5,10,0,3,.333,498,120.1,113,5,27,3,77,46,42,1.16,3.13
ソ,18,新垣　渚,4.58,15,6,5,0,0,.545,335,78.2,66,4,38,4,56,42,40,1.32,3.96
ソ,30,武田　翔太,1.07,11,8,1,0,0,.889,262,67.0,40,1,26,1,67,9,8,0.99,2.52
ソ,19,森福　允彦,1.39,65,2,5,17,24,.286,235,58.1,40,1,17,3,55,12,9,0.98,2.33
ソ,62,岡島　秀樹,0.94,56,0,2,9,24,.000,181,47.2,34,1,6,0,36,6,5,0.84,2.26
ソ,40,藤岡　好明,1.19,39,1,0,0,8,1.000,175,45.1,36,0,9,0,34,8,6,0.99,2.22
ソ,17,大場　翔太,2.38,10,2,5,0,0,.286,186,45.1,30,1,16,4,41,16,12,1.01,2.92
ソ,51,金澤　健人,2.44,49,1,0,0,7,1.000,184,44.1,36,2,14,3,28,18,12,1.13,3.46
ソ,91,陽　耀勲,1.48,9,2,3,0,1,.400,168,42.2,24,1,18,4,45,10,7,0.98,2.86
ソ,00,吉川　輝昭,5.29,25,0,1,0,0,.000,142,32.1,27,3,18,2,23,21,19,1.39,4.67
ソ,61,金　無英,1.72,29,1,1,0,3,.500,132,31.1,31,1,7,0,28,10,6,1.21,2.42
ソ,38,神内　靖,5.47,20,0,0,0,4,.000,101,24.2,22,3,4,1,24,15,15,1.05,3.36
ソ,25,ファルケンボーグ,1.57,23,0,1,13,4,.000,88,23.0,14,1,8,0,26,4,4,0.96,2.47
ソ,31,ドイル,3.55,3,1,1,0,0,.500,60,12.2,14,1,9,1,7,7,5,1.82,5.41
ソ,20,巽　真悟,8.74,4,0,1,0,0,.000,62,11.1,18,2,7,2,5,13,11,2.21,6.91
ソ,63,ピント,7.36,2,1,1,0,0,.500,39,7.1,9,1,7,1,6,8,6,2.18,6.53
ソ,48,甲藤　啓介,2.84,6,0,1,0,0,.000,29,6.1,5,0,5,0,3,2,2,1.58,4.54
ソ,21,千賀　滉大,9.64,2,0,1,0,0,.000,29,4.2,7,0,8,0,1,7,5,3.21,7.83
ソ,57,嘉弥真　新也,12.46,4,0,0,0,0,.000,23,4.1,6,0,5,0,2,8,6,2.54,5.66
ソ,31,ペニー,10.80,1,0,1,0,0,.000,19,3.1,7,0,3,0,1,6,4,3.00,5.22
ソ,64,カストロ,6.00,3,0,0,0,0,.000,14,3.0,5,1,0,0,2,3,2,1.67,6.12
ソ,26,川原　弘之,0.00,2,0,0,0,0,.000,10,3.0,1,0,0,0,3,0,0,0.33,1.12
ソ,39,ロメロ,10.13,3,0,0,0,0,.000,13,2.2,5,1,0,0,2,4,3,1.88,6.50
ソ,11,帆足　和幸,13.50,1,0,1,0,0,.000,15,2.2,5,0,3,1,1,4,4,3.00,6.87
ソ,33,吉本　祥二,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,39,久米　勇紀,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,56,星野　大地,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,14,馬原　孝浩,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,59,南　貴樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,16,小椋　真介,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,65,下沖　勇樹,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,53,柳川　洋平,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,67,坂田　将人,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,49,近田　怜王,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,38,武田　勝,2.36,28,11,7,0,0,.611,709,182.2,159,10,30,4,90,50,48,1.03,3.39
日,34,吉川　光夫,1.71,25,14,5,0,0,.737,668,173.2,108,6,45,4,158,35,33,0.88,2.58
日,17,ウルフ,2.66,26,10,9,0,0,.526,628,149.0,155,2,40,6,83,49,44,1.31,3.05
日,18,斎藤　佑樹,3.98,19,5,8,0,0,.385,480,104.0,126,8,48,2,59,60,46,1.67,4.40
日,65,多田野　数人,3.70,18,6,5,0,1,.545,372,90.0,92,9,17,1,48,41,37,1.21,3.95
日,19,増井　浩俊,2.76,73,5,5,7,45,.500,298,71.2,65,2,25,0,69,26,22,1.26,2.52
日,29,八木　智哉,3.38,13,6,3,0,0,.667,285,66.2,67,4,16,6,37,27,25,1.25,3.74
日,48,谷元　圭介,3.52,28,2,2,0,7,.500,257,61.1,61,3,16,1,39,24,24,1.26,3.32
日,47,森内　壽春,4.01,56,0,1,0,16,.000,247,60.2,49,6,24,0,37,27,27,1.20,4.32
日,25,宮西　尚生,2.25,66,2,2,0,39,.500,244,60.0,51,4,14,4,56,18,15,1.08,2.97
日,21,武田　久,2.32,56,4,4,32,3,.500,230,54.1,56,2,19,0,34,14,14,1.38,3.23
日,36,中村　勝,1.79,8,2,2,0,0,.500,184,45.1,36,2,16,1,29,10,9,1.15,3.54
日,33,矢貫　俊之,3.24,22,1,0,1,1,1.000,144,33.1,34,4,15,0,23,12,12,1.47,4.65
日,16,乾　真大,5.51,36,1,2,0,2,.333,140,32.2,28,3,16,0,32,20,20,1.35,3.82
日,62,モルケン,3.27,23,2,1,0,9,.667,91,22.0,20,1,8,0,18,8,8,1.27,3.03
日,15,榊原　諒,2.95,17,0,0,0,2,.000,94,21.1,23,2,8,0,18,9,7,1.45,3.78
日,13,石井　裕也,1.59,18,2,1,0,6,.667,65,17.0,8,2,6,0,18,3,3,0.82,3.59
日,32,根本　朋久,0.00,7,0,0,0,0,.000,44,12.1,8,0,4,0,6,0,0,0.97,3.12
日,46,植村　祐介,3.75,9,1,0,0,0,1.000,51,12.0,8,1,7,1,12,5,5,1.25,4.20
日,31,ケッペル,9.00,2,0,1,0,0,.000,31,6.0,12,0,2,0,2,6,6,2.33,3.45
日,43,若竹　竜士,3.86,2,0,0,0,0,.000,14,2.1,3,1,3,1,0,1,1,2.57,13.83
