Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
ソ,32,塚田　正義,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ソ,68,立岡　宗一郎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
日,6,中田　翔,.239,144,606,547,131,24,77,5,50,5,101,0,8,.420,.307,.727,4.44,4.54
日,24,陽　岱鋼,.287,144,599,533,153,7,55,17,37,6,123,18,10,.398,.337,.735,4.70,4.59
日,7,糸井　嘉男,.304,134,597,510,155,9,48,22,75,11,86,0,9,.410,.404,.813,6.47,6.26
日,5,小谷野　栄一,.228,134,550,478,109,3,39,6,27,4,72,40,8,.293,.275,.567,2.48,2.47
日,3,田中　賢介,.300,114,505,457,137,3,32,13,35,2,36,8,2,.363,.350,.713,4.81,4.70
日,41,稲葉　篤紀,.290,127,497,449,130,10,61,0,32,5,70,8,3,.421,.342,.762,5.38,5.22
日,22,鶴岡　慎也,.266,116,328,289,77,0,25,3,14,1,41,23,11,.308,.302,.610,2.68,2.61
日,9,ホフパワー,.247,109,325,296,73,14,37,1,25,3,81,0,3,.432,.311,.743,4.74,4.77
日,8,金子　誠,.227,103,311,277,63,0,22,1,15,0,53,17,2,.292,.265,.558,2.30,2.31
日,28,大野　奨太,.171,70,159,140,24,2,11,0,8,2,30,9,2,.243,.227,.470,1.20,1.35
日,26,西川　遥輝,.239,71,155,134,32,2,13,7,14,0,34,7,0,.343,.311,.654,4.18,4.11
日,10,スレッジ,.232,47,152,138,32,5,23,0,12,2,47,0,2,.406,.303,.708,4.22,4.22
日,61,杉谷　拳士,.235,58,133,115,27,2,12,4,7,1,18,8,1,.330,.280,.610,3.01,3.21
日,23,二岡　智宏,.353,65,94,85,30,2,14,0,7,1,13,0,3,.435,.404,.840,6.57,6.38
日,56,中島　卓也,.114,105,82,70,8,0,0,2,1,0,17,11,0,.114,.127,.241,-0.39,-0.21
日,4,飯山　裕志,.176,85,74,68,12,0,2,1,1,1,17,4,1,.191,.200,.391,0.64,0.75
日,44,鵜久森　淳志,.219,20,37,32,7,4,6,0,4,0,9,1,0,.594,.306,.899,6.28,6.58
日,39,加藤　政義,.143,20,36,28,4,1,2,0,4,0,8,3,0,.250,.242,.492,1.89,2.48
日,40,岩舘　学,.129,24,33,31,4,2,3,0,0,1,4,1,0,.323,.156,.479,1.34,1.74
日,54,近藤　健介,.192,20,30,26,5,0,2,0,2,0,5,1,1,.192,.241,.434,0.96,1.45
日,45,今浪　隆博,.167,13,18,18,3,0,0,0,0,0,0,0,1,.167,.167,.333,-0.50,-0.37
日,51,村田　和哉,.111,15,10,9,1,0,0,0,1,0,3,0,0,.111,.200,.311,-1.03,-0.66
日,64,谷口　雄也,.400,4,6,5,2,0,1,0,0,0,2,1,0,.600,.400,1.000,7.56,6.55
