,Team,背番号,選手名,防御率,試合,勝利,敗北,セlブ,ホlルド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
171,ヤ,17,成瀬　善久,4.76,14,3,8,0,0,.273,339,79.1,83,16,21,1,46,46,42,1.31,5.41
172,ヤ,53,ロマン,2.40,61,5,5,0,23,.500,330,78.2,66,2,35,3,58,25,21,1.28,3.35
173,ヤ,14,秋吉　亮,2.36,74,6,1,0,22,.857,305,76.1,51,6,28,6,81,24,20,1.03,3.24
174,ヤ,58,オンドルセク,2.05,72,5,2,0,33,.714,276,70.1,52,2,22,1,62,17,16,1.05,2.71
175,ヤ,40,古野　正人,4.78,27,4,3,0,1,.571,307,69.2,91,6,18,5,39,38,37,1.56,4.11
176,ヤ,34,バーネット,1.29,59,3,1,41,6,.750,246,62.2,37,1,19,3,56,10,9,0.89,2.59
177,ヤ,25,館山　昌平,2.89,11,6,3,0,0,.667,260,62.1,44,4,36,4,36,22,20,1.28,4.68
178,ヤ,62,徳山　武陽,3.58,39,2,1,0,3,.667,217,50.1,48,4,22,0,50,25,20,1.39,3.42
179,ヤ,68,山中　浩史,3.24,9,6,2,0,0,.750,210,50.0,54,5,7,5,20,21,18,1.22,4.34
180,ヤ,18,杉浦　稔大,2.92,7,1,3,0,0,.250,164,37.0,35,2,21,0,25,12,12,1.51,4.09
181,ヤ,21,松岡　健一,3.44,38,2,0,1,4,1.000,152,36.2,31,1,15,4,31,14,14,1.25,3.34
182,ヤ,54,中澤　雅人,3.03,35,1,2,0,3,.333,136,29.2,32,2,15,1,21,12,10,1.58,4.10
183,ヤ,26,久古　健太郎,2.55,38,0,0,0,8,.000,102,24.2,23,1,9,1,23,7,7,1.30,3.00
184,ヤ,20,山本　哲哉,3.12,17,0,0,0,2,.000,72,17.1,20,1,2,1,11,6,6,1.27,3.12
185,ヤ,70,八木　亮祐,6.30,2,0,2,0,0,.000,47,10.0,14,2,3,0,5,7,7,1.70,5.32
186,ヤ,16,木谷　良平,9.00,2,0,0,0,0,.000,15,3.0,6,2,0,0,2,3,3,2.00,10.45
187,ヤ,38,寺田　哲也,0.00,1,0,0,0,0,.000,16,3.0,2,0,4,1,3,0,0,2.00,6.12
188,ヤ,91,金伏　ウーゴ,36.00,1,0,0,0,0,.000,9,1.0,4,0,1,0,0,4,4,5.00,6.12
189,ヤ,44,岩橋　慶侍,18.00,1,0,0,0,0,.000,6,1.0,2,1,1,0,0,2,2,3.00,19.12
190,ヤ,32,風張　蓮,0.00,1,0,0,0,0,.000,2,0.1,0,0,0,1,0,0,0,0.00,12.12
191,ヤ,61,児山　祐斗,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
