,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
68,巨,00,寺内　崇幸,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,巨,32,橋本　到,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,巨,56,山本　泰寛,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,阪,9,髙山　俊,.263,4,19,19,5,0,2,0,0,0,6,0,0,.421,.263,.684,4.01,3.76
72,阪,24,横田　慎太郎,.222,4,19,18,4,0,1,1,0,1,1,0,0,.222,.263,.485,1.52,1.67
73,阪,8,福留　孝介,.400,4,18,15,6,1,2,0,3,0,1,0,0,.600,.500,1.100,13.03,12.42
74,阪,36,ヘイグ,.417,4,17,12,5,0,4,0,3,1,1,0,0,.583,.529,1.113,13.77,13.60
75,阪,5,ゴメス,.250,4,17,16,4,2,7,0,0,0,6,0,0,.688,.235,.923,6.14,6.94
76,阪,1,鳥谷　敬,.167,4,17,12,2,0,0,1,5,0,4,0,0,.167,.412,.578,4.93,5.27
77,阪,7,西岡　剛,.308,4,15,13,4,0,0,0,1,1,0,0,0,.308,.400,.708,5.72,5.61
78,阪,44,梅野　隆太郎,.333,3,8,6,2,0,2,0,1,0,3,1,0,.333,.429,.762,5.58,5.40
79,阪,57,岡﨑　太一,.667,2,6,3,2,0,1,0,2,0,0,1,0,.667,.800,1.467,23.93,22.01
80,阪,49,今成　亮太,.000,3,2,2,0,0,0,0,0,0,1,0,0,.000,.000,.000,-2.81,-2.57
81,阪,0,大和,.000,3,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
82,阪,25,江越　大賀,.000,3,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
83,阪,65,緒方　凌介,.000,2,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
84,阪,4,上本　博紀,.000,1,1,0,0,0,0,0,1,0,0,0,0,.000,1.000,1.000,∞,0.00
85,阪,99,狩野　恵輔,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
86,阪,2,北條　史也,.000,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,-2.70,-2.43
87,阪,58,荒木　郁也,.000,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,0.00,0.00
