,Team,背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,長打率,出塁率,OPS,RC27,XR27
175,横,60,加藤　政義,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,横,91,Ｌ．グリエルJr.,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,横,64,百瀬　大騎,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178,横,44,渡邊　雄貴,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179,ヤ,23,山田　哲人,.329,143,646,557,183,38,100,34,81,5,111,0,11,.610,.416,1.027,9.56,9.19
180,ヤ,5,川端　慎吾,.336,143,632,581,195,8,57,4,43,3,72,2,15,.439,.383,.822,6.20,5.85
181,ヤ,41,雄平,.270,141,585,551,149,8,60,7,27,3,82,1,7,.388,.307,.695,4.21,4.10
182,ヤ,33,畠山　和洋,.268,137,584,512,137,26,105,0,62,2,92,0,10,.471,.344,.815,5.76,5.85
183,ヤ,52,中村　悠平,.231,136,502,442,102,2,33,3,40,4,80,14,9,.276,.299,.575,2.70,2.76
184,ヤ,2,大引　啓次,.225,96,347,311,70,5,41,6,27,1,56,6,5,.338,.287,.625,3.19,3.24
185,ヤ,0,比屋根　渉,.230,84,240,209,48,3,9,6,17,4,38,10,2,.301,.300,.601,3.14,3.18
186,ヤ,50,上田　剛史,.263,82,238,209,55,1,19,8,14,2,29,11,5,.306,.313,.619,3.34,3.40
187,ヤ,71,デニング,.222,64,227,194,43,4,22,0,23,8,43,0,2,.345,.326,.671,4.07,4.17
188,ヤ,24,荒木　貴裕,.253,73,196,170,43,2,12,5,16,1,30,8,3,.335,.319,.654,3.57,3.57
189,ヤ,7,田中　浩康,.201,82,151,134,27,1,11,3,11,2,18,4,4,.261,.272,.533,2.15,2.23
